sector_name,institution_name,2015_16_tuition_fee
"4-year, private for-profit",Westwood College-Atlanta Peachtree Center Campus,15479
"4-year, private for-profit",Westwood College-Northlake,15401
"4-year, private for-profit",South University–Savannah Online,14568
"4-year, private for-profit",Virginia College-Augusta,13932
"4-year, private for-profit",Herzing University-Atlanta,13670
"4-year, private for-profit",Argosy University-Atlanta,13560
"4-year, private for-profit",Virginia College-Savannah,13392
"4-year, private for-profit",Bauder College,13356
"4-year, private for-profit",Strayer University-Georgia,12975
"4-year, private for-profit",University of Phoenix-Georgia,9926
"2-year, public",Georgia Military College,5940
"2-year, public",Coastal Pines Technical College,4770
"2-year, public",Southern Crescent Technical College,4122
"2-year, public",Georgia Perimeter College,3213
"2-year, public",Lanier Technical College,3164
"2-year, public",Ogeechee Technical College,2862
"2-year, public",Georgia Piedmont Technical College,2840
"2-year, public",Gwinnett Technical College,2796
"2-year, public",Southeastern Technical College,2774
"2-year, public",Atlanta Technical College,2746
"2-year, public",Wiregrass Georgia Technical College,2734
"2-year, public",North Georgia Technical College,2724
"2-year, public",South Georgia Technical College,2724
"2-year, public",West Georgia Technical College,2724
"2-year, public",Columbus Technical College,2694
"2-year, public",Athens Technical College,2684
"2-year, public",Georgia Northwestern Technical College,2684
"2-year, public",Chattahoochee Technical College,2682
"2-year, public",Central Georgia Technical College,2674
"2-year, public",Savannah Technical College,2654
"2-year, public",Albany Technical College,2652
"2-year, public",Augusta Technical College,2644
"2-year, public",Oconee Fall Line Technical College,2614
"2-year, public",Southern Regional Technical College,2614
"2-year, private not-for-profit",Emory University-Oxford College,41614
"2-year, private not-for-profit",Andrew College,14924
"2-year, private not-for-profit",Gupton Jones College of Funeral Service,11100
"2-year, private for-profit",Portfolio Center,20015
"2-year, private for-profit",Aviation Institute of Maintenance-Atlanta,17897
"2-year, private for-profit",The Creative Circus,17115
"2-year, private for-profit",Brown Mackie College-Atlanta,14616
"2-year, private for-profit",Le Cordon Bleu College of Culinary Arts-Atlanta,14036
"2-year, private for-profit",Virginia College-Columbus,13932
"2-year, private for-profit",Virginia College-Macon,13932
"2-year, private for-profit",Fortis College-Smyrna,13419
"2-year, private for-profit",Brown College of Court Reporting,12900
"2-year, private for-profit",Gwinnett College-Lilburn,9925
"2-year, private for-profit",Miller-Motte Technical College-Augusta,9866
"2-year, private for-profit",Miller-Motte Technical College-Columbus,9823
"2-year, private for-profit",Miller-Motte Technical College-Macon,9550
"2-year, private for-profit",Interactive College of Technology-Chamblee,9113
"2-year, private for-profit",Interactive College of Technology-Gainesville,8810
"2-year, private for-profit",Interactive College of Technology-Morrow,8810
"Less than 2-year, private not-for-profit",Helms College,15311
